title,desc,link,pubDate,source,text,label
Đại tướng Phan Văn Giang nhận Huân chương Quân công hạng Nhất,"Huân chương Quân công hạng Nhất được trao cho Đại tướng Phan Văn Giang và lãnh đạo Bộ Quốc phòng, ghi nhận cống hiến xây dựng Quân đội, củng cố quốc phòng.",https://vnexpress.net/dai-tuong-phan-van-giang-nhan-huan-chuong-quan-cong-hang-nhat-4933797.html,2025-08-31 11:25:51+00:00,https://vnexpress.net/rss/thoi-su.rss,"Đại tướng Phan Văn Giang nhận Huân chương Quân công hạng Nhất Huân chương Quân công hạng Nhất được trao cho Đại tướng Phan Văn Giang và lãnh đạo Bộ Quốc phòng, ghi nhận cống hiến xây dựng Quân đội, củng cố quốc phòng.",REAL
"Quân nhân nước ngoài viếng Lăng Bác, thăm triển lãm quốc gia","Đoàn quân nhân ba nước Nga, Lào, Campuchia viếng Lăng Chủ tịch Hồ Chí Minh, tham quan gian trưng bày khí tài của Bộ Quốc phòng tại triển lãm thành tựu 80 năm, ngày 31/8.",https://vnexpress.net/quan-nhan-nuoc-ngoai-vieng-lang-bac-tham-trien-lam-quoc-gia-4933733.html,2025-08-31 08:24:43+00:00,https://vnexpress.net/rss/thoi-su.rss,"Quân nhân nước ngoài viếng Lăng Bác, thăm triển lãm quốc gia Đoàn quân nhân ba nước Nga, Lào, Campuchia viếng Lăng Chủ tịch Hồ Chí Minh, tham quan gian trưng bày khí tài của Bộ Quốc phòng tại triển lãm thành tựu 80 năm, ngày 31/8.",REAL
Tổng Bí thư dâng hương tại nơi Chủ tịch Hồ Chí Minh viết Tuyên ngôn độc lập,"Sáng 31/8, Tổng Bí thư Tô Lâm đến dâng hương tưởng niệm Chủ tịch Hồ Chí Minh tại nhà số 48 Hàng Ngang, phường Hoàn Kiếm.",https://vnexpress.net/tong-bi-thu-dang-huong-tai-noi-chu-tich-ho-chi-minh-viet-tuyen-ngon-doc-lap-4933707.html,2025-08-31 06:30:11+00:00,https://vnexpress.net/rss/thoi-su.rss,"Tổng Bí thư dâng hương tại nơi Chủ tịch Hồ Chí Minh viết Tuyên ngôn độc lập Sáng 31/8, Tổng Bí thư Tô Lâm đến dâng hương tưởng niệm Chủ tịch Hồ Chí Minh tại nhà số 48 Hàng Ngang, phường Hoàn Kiếm.",REAL
Ôtô lao vào cửa hàng điện thoại,"Nữ tài xế lái ôtô 4 chỗ lao lên vỉa hè, tông nhiều xe máy rồi đâm thẳng vào cửa hàng điện thoại, sáng 31/8.",https://vnexpress.net/oto-lao-vao-cua-hang-dien-thoai-4933714.html,2025-08-31 06:29:05+00:00,https://vnexpress.net/rss/thoi-su.rss,"Ôtô lao vào cửa hàng điện thoại Nữ tài xế lái ôtô 4 chỗ lao lên vỉa hè, tông nhiều xe máy rồi đâm thẳng vào cửa hàng điện thoại, sáng 31/8.",REAL
Hàng chục nghìn người viếng Lăng Chủ tịch Hồ Chí Minh,"Từ 5h30 hôm nay, người dân từ khắp các địa phương về xếp hàng dài chờ viếng Lăng Chủ tịch Hồ Chí Minh, nhân dịp Quốc khánh 2/9.",https://vnexpress.net/hang-chuc-nghin-nguoi-vieng-lang-chu-tich-ho-chi-minh-4933709.html,2025-08-31 06:20:11+00:00,https://vnexpress.net/rss/thoi-su.rss,"Hàng chục nghìn người viếng Lăng Chủ tịch Hồ Chí Minh Từ 5h30 hôm nay, người dân từ khắp các địa phương về xếp hàng dài chờ viếng Lăng Chủ tịch Hồ Chí Minh, nhân dịp Quốc khánh 2/9.",REAL
Công an TP Hà Nội thay đổi phương án cấm đường ngày 1-2/9,"Phục vụ buổi diễu binh diễu hành 80 năm Cách mạng tháng Tám và Quốc khánh 2/9, Công an TP Hà Nội thông báo cấm đường từ 22h ngày 1/9 đến 13h hôm sau.",https://vnexpress.net/cong-an-tp-ha-noi-thay-doi-phuong-an-cam-duong-ngay-1-2-9-4933718.html,2025-08-31 06:12:51+00:00,https://vnexpress.net/rss/thoi-su.rss,"Công an TP Hà Nội thay đổi phương án cấm đường ngày 1-2/9 Phục vụ buổi diễu binh diễu hành 80 năm Cách mạng tháng Tám và Quốc khánh 2/9, Công an TP Hà Nội thông báo cấm đường từ 22h ngày 1/9 đến 13h hôm sau.",REAL
Dự báo thời tiết cả nước ngày 2/9,"Miền Bắc dự báo mưa giảm dần từ đêm nay, đến ngày 2/9 bắt đầu hửng nắng, các tỉnh thành Thanh Hóa đến phía Nam có mưa gián đoạn.",https://vnexpress.net/du-bao-thoi-tiet-ca-nuoc-ngay-2-9-4933698.html,2025-08-31 05:13:18+00:00,https://vnexpress.net/rss/thoi-su.rss,"Dự báo thời tiết cả nước ngày 2/9 Miền Bắc dự báo mưa giảm dần từ đêm nay, đến ngày 2/9 bắt đầu hửng nắng, các tỉnh thành Thanh Hóa đến phía Nam có mưa gián đoạn.",REAL
Những mẫu tem phát hành sau ngày độc lập,"Sau ngày 2/9/1945, do nguồn lực không có, chính quyền cách mạng quyết định sử dụng tem Đông Dương cũ, xóa chữ và in đè lên tên nước.",https://vnexpress.net/nhung-mau-tem-phat-hanh-sau-ngay-doc-lap-4933487.html,2025-08-31 05:04:19+00:00,https://vnexpress.net/rss/thoi-su.rss,"Những mẫu tem phát hành sau ngày độc lập Sau ngày 2/9/1945, do nguồn lực không có, chính quyền cách mạng quyết định sử dụng tem Đông Dương cũ, xóa chữ và in đè lên tên nước.",REAL
"Miền trung trời nắng, lũ rút","Hà Tĩnh, Nghệ An, Quảng Trị sáng nay trời nắng, một số nơi còn mưa nhỏ, nước lũ đang rút dần, chỉ còn một vài nơi bị chia cắt.",https://vnexpress.net/mien-trung-troi-nang-lu-rut-4933686.html,2025-08-31 04:13:22+00:00,https://vnexpress.net/rss/thoi-su.rss,"Miền trung trời nắng, lũ rút Hà Tĩnh, Nghệ An, Quảng Trị sáng nay trời nắng, một số nơi còn mưa nhỏ, nước lũ đang rút dần, chỉ còn một vài nơi bị chia cắt.",REAL
Những lần thoát chết của cựu binh 'đội quân tóc dài' xứ dừa,"Trải qua xả súng, giam cầm, tra tấn điện, bỏ đói, những nữ chiến sĩ của ""đội quân tóc dài"" vẫn giữ vững khí tiết, trở thành nỗi ám ảnh của đối phương.",https://vnexpress.net/nhung-lan-thoat-chet-cua-cuu-binh-doi-quan-toc-dai-xu-dua-4933465.html,2025-08-31 01:00:00+00:00,https://vnexpress.net/rss/thoi-su.rss,"Những lần thoát chết của cựu binh 'đội quân tóc dài' xứ dừa Trải qua xả súng, giam cầm, tra tấn điện, bỏ đói, những nữ chiến sĩ của ""đội quân tóc dài"" vẫn giữ vững khí tiết, trở thành nỗi ám ảnh của đối phương.",REAL
"Nhiều tháp Chăm cổ bị xuống cấp, xâm hại","Tường gạch, hoa văn trên tháp Phú Lốc, Bình Lâm, Thủ Thiện... bị bào mòn, loang lổ, rơi vỡ và vẽ bậy, việc trùng tu gặp khó khăn do thiếu kinh phí.",https://vnexpress.net/nhieu-thap-cham-co-bi-xuong-cap-xam-hai-4930680.html,2025-08-30 23:00:00+00:00,https://vnexpress.net/rss/thoi-su.rss,"Nhiều tháp Chăm cổ bị xuống cấp, xâm hại Tường gạch, hoa văn trên tháp Phú Lốc, Bình Lâm, Thủ Thiện... bị bào mòn, loang lổ, rơi vỡ và vẽ bậy, việc trùng tu gặp khó khăn do thiếu kinh phí.",REAL
Đài tiếng nói Nam Bộ trong đình làng bên sông Trà Khúc,"Thành lập năm 1946, Đài Tiếng nói Nam Bộ - Đài phát thanh đầu tiên ở miền Nam sau độc lập, đã cổ vũ tinh thần kháng chiến chống Pháp.",https://vnexpress.net/dai-tieng-noi-nam-bo-trong-dinh-lang-ben-song-tra-khuc-4932985.html,2025-08-30 22:00:00+00:00,https://vnexpress.net/rss/thoi-su.rss,"Đài tiếng nói Nam Bộ trong đình làng bên sông Trà Khúc Thành lập năm 1946, Đài Tiếng nói Nam Bộ - Đài phát thanh đầu tiên ở miền Nam sau độc lập, đã cổ vũ tinh thần kháng chiến chống Pháp.",REAL
Gần 14.000 người thi công xuyên lễ ở sân bay Long Thành,"Gần 14.000 kỹ sư, công nhân cùng 3.000 thiết bị làm việc xuyên lễ Quốc khánh 2/9 trên công trường sân bay Long Thành để sớm đưa dự án về đích.",https://vnexpress.net/gan-14-000-nguoi-thi-cong-xuyen-le-o-san-bay-long-thanh-4933568.html,2025-08-30 17:00:00+00:00,https://vnexpress.net/rss/thoi-su.rss,"Gần 14.000 người thi công xuyên lễ ở sân bay Long Thành Gần 14.000 kỹ sư, công nhân cùng 3.000 thiết bị làm việc xuyên lễ Quốc khánh 2/9 trên công trường sân bay Long Thành để sớm đưa dự án về đích.",REAL
Cứu 11 người mắc kẹt hai ngày do lũ,"11 người đến xã Hiếu Giang (Quảng Trị) làm việc, bị nước lũ cô lập trong rừng trồng gỗ kéo, được cảnh sát cứu hộ đưa qua sông an toàn.",https://vnexpress.net/cuu-11-nguoi-mac-ket-hai-ngay-do-lu-4933591.html,2025-08-30 15:19:45+00:00,https://vnexpress.net/rss/thoi-su.rss,"Cứu 11 người mắc kẹt hai ngày do lũ 11 người đến xã Hiếu Giang (Quảng Trị) làm việc, bị nước lũ cô lập trong rừng trồng gỗ kéo, được cảnh sát cứu hộ đưa qua sông an toàn.",REAL
Tháp điểm nhấn ở biển Vũng Tàu vận hành,"Tháp Tam Thắng ở Bãi Sau Vũng Tàu hoạt động thu hút hàng nghìn người đến chiêm ngưỡng và trải nghiệm không gian nghệ thuật ánh sáng, nhạc nước, tối 30/8.",https://vnexpress.net/thap-tam-thang-vung-tau-4933587.html,2025-08-30 15:10:26+00:00,https://vnexpress.net/rss/thoi-su.rss,"Tháp điểm nhấn ở biển Vũng Tàu vận hành Tháp Tam Thắng ở Bãi Sau Vũng Tàu hoạt động thu hút hàng nghìn người đến chiêm ngưỡng và trải nghiệm không gian nghệ thuật ánh sáng, nhạc nước, tối 30/8.",REAL
Đường tới trung tâm triển lãm quốc gia tắc gần 5 km,"Hàng nghìn phương tiện ùn ứ trên tuyến đường Trường Sa dẫn tới Trung tâm Hội chợ Triển lãm quốc gia ở Đông Anh, chiều 30/8.",https://vnexpress.net/duong-toi-trung-tam-trien-lam-quoc-gia-tac-gan-5-km-4933542.html,2025-08-30 11:31:41+00:00,https://vnexpress.net/rss/thoi-su.rss,"Đường tới trung tâm triển lãm quốc gia tắc gần 5 km Hàng nghìn phương tiện ùn ứ trên tuyến đường Trường Sa dẫn tới Trung tâm Hội chợ Triển lãm quốc gia ở Đông Anh, chiều 30/8.",REAL
Cao tốc từ Dầu Giây đi Vĩnh Hảo kẹt xe nhiều đoạn,Nhiều ôtô gặp sự cố khiến đoạn cao tốc Dầu Giây – Phan Thiết và Phan Thiết – Vĩnh Hảo (tỉnh Bình Thuận cũ) ùn tắc trong ngày đầu nghỉ lễ 2/9.,https://vnexpress.net/cao-toc-tu-dau-giay-di-vinh-hao-ket-xe-nhieu-doan-4933522.html,2025-08-30 10:05:31+00:00,https://vnexpress.net/rss/thoi-su.rss,Cao tốc từ Dầu Giây đi Vĩnh Hảo kẹt xe nhiều đoạn Nhiều ôtô gặp sự cố khiến đoạn cao tốc Dầu Giây – Phan Thiết và Phan Thiết – Vĩnh Hảo (tỉnh Bình Thuận cũ) ùn tắc trong ngày đầu nghỉ lễ 2/9.,REAL
Cháy bãi xe dưới chân cầu Vĩnh Tuy,"Chiều 30/8, bãi giữ hàng trăm xe máy dưới chân cầu Vĩnh Tuy bốc cháy dữ dội, cảnh sát phải huy động nhiều xe cứu hỏa dập lửa, giao thông qua khu vực tê liệt.",https://vnexpress.net/chay-bai-xe-duoi-chan-cau-vinh-tuy-4933497.html,2025-08-30 08:17:01+00:00,https://vnexpress.net/rss/thoi-su.rss,"Cháy bãi xe dưới chân cầu Vĩnh Tuy Chiều 30/8, bãi giữ hàng trăm xe máy dưới chân cầu Vĩnh Tuy bốc cháy dữ dội, cảnh sát phải huy động nhiều xe cứu hỏa dập lửa, giao thông qua khu vực tê liệt.",REAL
"Bão cấp 8 vào Hà Tĩnh - Quảng Trị, nhiều bản bị chia cắt","Chiều nay, tâm bão ở vùng ven biển Hà Tĩnh - Quảng Trị với sức gió 74 km/h, cấp 8, gây mưa to khiến nhiều tuyến đường bị ngập 0,3-1 m, chia cắt một số bản làng.",https://vnexpress.net/bao-cap-8-vao-ha-tinh-quang-tri-nhieu-ban-bi-chia-cat-4933458.html,2025-08-30 07:53:11+00:00,https://vnexpress.net/rss/thoi-su.rss,"Bão cấp 8 vào Hà Tĩnh - Quảng Trị, nhiều bản bị chia cắt Chiều nay, tâm bão ở vùng ven biển Hà Tĩnh - Quảng Trị với sức gió 74 km/h, cấp 8, gây mưa to khiến nhiều tuyến đường bị ngập 0,3-1 m, chia cắt một số bản làng.",REAL
Đà Nẵng khởi công nhà ga hàng hóa mới tại sân bay quốc tế,"Nhà ga hàng hóa được thiết kế với công suất 100.000 tấn mỗi năm, nằm trong kế hoạch nâng cấp hạ tầng sân bay quốc tế Đà Nẵng.",https://vnexpress.net/da-nang-khoi-cong-nha-ga-hang-hoa-moi-tai-san-bay-quoc-te-4933434.html,2025-08-30 07:35:18+00:00,https://vnexpress.net/rss/thoi-su.rss,"Đà Nẵng khởi công nhà ga hàng hóa mới tại sân bay quốc tế Nhà ga hàng hóa được thiết kế với công suất 100.000 tấn mỗi năm, nằm trong kế hoạch nâng cấp hạ tầng sân bay quốc tế Đà Nẵng.",REAL
Phân công nhiệm vụ 8 lãnh đạo UBND TP HCM,Nhiệm vụ của 8 thành viên Thường trực UBND TP HCM được phân công lại sau khi ông Nguyễn Mạnh Cường giữ vị trí phó chủ tịch hồi tháng 7.,https://vnexpress.net/phan-cong-nhiem-vu-8-lanh-dao-ubnd-tp-hcm-4933490.html,2025-08-30 07:19:40+00:00,https://vnexpress.net/rss/thoi-su.rss,Phân công nhiệm vụ 8 lãnh đạo UBND TP HCM Nhiệm vụ của 8 thành viên Thường trực UBND TP HCM được phân công lại sau khi ông Nguyễn Mạnh Cường giữ vị trí phó chủ tịch hồi tháng 7.,REAL
Hai giờ tổng duyệt diễu binh ở Ba Đình,"Lần đầu, 31 tiêm kích, trực thăng cùng tham gia tổng duyệt diễu binh với hơn 16.300 quân nhân và hàng chục khối xe pháo quân sự, xe đặc chủng công an trên quảng trường Ba Đình, sáng 30/8.",https://vnexpress.net/hai-gio-tong-duyet-dieu-binh-o-ba-dinh-4933450.html,2025-08-30 05:40:24+00:00,https://vnexpress.net/rss/thoi-su.rss,"Hai giờ tổng duyệt diễu binh ở Ba Đình Lần đầu, 31 tiêm kích, trực thăng cùng tham gia tổng duyệt diễu binh với hơn 16.300 quân nhân và hàng chục khối xe pháo quân sự, xe đặc chủng công an trên quảng trường Ba Đình, sáng 30/8.",REAL
Ông Lê Hoài Trung được giao quyền Bộ trưởng Ngoại giao,"Ông Lê Hoài Trung, Chánh Văn phòng Trung ương Đảng, được Thủ tướng Phạm Minh Chính trao quyết định giữ chức Quyền Bộ trưởng, Bí thư Đảng ủy Bộ Ngoại giao nhiệm kỳ 2025-2030.",https://vnexpress.net/ong-le-hoai-trung-duoc-giao-quyen-bo-truong-ngoai-giao-4933319.html,2025-08-30 05:14:29+00:00,https://vnexpress.net/rss/thoi-su.rss,"Ông Lê Hoài Trung được giao quyền Bộ trưởng Ngoại giao Ông Lê Hoài Trung, Chánh Văn phòng Trung ương Đảng, được Thủ tướng Phạm Minh Chính trao quyết định giữ chức Quyền Bộ trưởng, Bí thư Đảng ủy Bộ Ngoại giao nhiệm kỳ 2025-2030.",REAL
